airline,source_city,destination_city,journey_date,departure_time,arrival_time,total_stops,travel_class,booking_window_days,season,day_of_week,is_holiday,aircraft_type,distance_km,rating,price_inr,duration_minutes,journey_month,journey_day,departure_hour,arrival_hour,route
air india,ahmedabad,hyderabad,16-04-2025,14:50,17:38,0,economy,45,monsoon,wednesday,0,B787,2373,4.8,8394,168,4,16,14,17,ahmedabad -> hyderabad
air india,ahmedabad,chennai,08-05-2025,02:45,07:39,0,economy,55,monsoon,thursday,1,ATR72,4803,4,8763,294,5,8,2,7,ahmedabad -> chennai
air india,ahmedabad,chennai,13-08-2025,17:40,22:34,1,economy,117,winter,wednesday,0,A321,1081,3.8,6577,294,8,13,17,22,ahmedabad -> chennai
air india,chennai,bengaluru,29-03-2025,11:40,17:10,0,economy,66,monsoon,saturday,0,A321,414,4.2,2343,330,3,29,11,17,chennai -> bengaluru
airasia india,chennai,pune,03-12-2025,12:15,17:15,0,economy,97,summer,wednesday,0,B737,1318,4.5,5271,300,12,3,12,17,chennai -> pune
airasia india,hyderabad,bengaluru,14-03-2025,07:45,12:45,0,economy,105,monsoon,friday,0,A320,1286,4.2,5639,300,3,14,7,12,hyderabad -> bengaluru
indigo,mumbai,chennai,02-09-2025,13:10,16:46,1,economy,61,spring,tuesday,0,ATR72,2646,4.5,10319,216,9,2,13,16,mumbai -> chennai
vistara,chennai,mumbai,30-04-2025,09:15,14:39,1,economy,114,monsoon,wednesday,0,A320,2042,4,9131,324,4,30,9,14,chennai -> mumbai
spicejet,mumbai,hyderabad,21-03-2025,04:50,08:20,0,economy,56,monsoon,friday,1,A321,1535,3.6,9043,210,3,21,4,8,mumbai -> hyderabad
air india,kolkata,delhi,17-07-2025,06:00,11:06,2,economy,10,winter,thursday,1,A320,1455,3.9,10982,306,7,17,6,11,kolkata -> delhi
spicejet,mumbai,kolkata,28-02-2025,08:50,13:14,0,economy,7,summer,friday,0,A321,2257,3.7,11240,264,2,28,8,13,mumbai -> kolkata
indigo,ahmedabad,mumbai,20-05-2025,00:10,03:16,1,economy,112,monsoon,tuesday,0,ATR72,1706,4.2,7595,858,5,20,0,3,ahmedabad -> mumbai
airasia india,kolkata,delhi,21-01-2025,07:40,10:46,1,economy,56,summer,tuesday,0,A350,575,4.4,4119,186,1,21,7,10,kolkata -> delhi
vistara,kolkata,chennai,12-12-2025,02:15,07:39,0,economy,73,summer,friday,0,A350,2685,3.6,30475,324,12,12,2,7,kolkata -> chennai
airasia india,bengaluru,delhi,24-05-2025,21:40,01:04,0,economy,61,monsoon,saturday,0,A321,1065,4.4,7396,204,5,24,21,1,bengaluru -> delhi
indigo,chennai,delhi,18-03-2025,01:40,07:04,1,economy,64,monsoon,tuesday,0,A321,312,3.6,4938,324,3,18,1,7,chennai -> delhi
indigo,bengaluru,mumbai,05-01-2025,22:15,02:03,0,economy,98,summer,sunday,0,A350,1441,4.2,6854,228,1,5,22,2,bengaluru -> mumbai
airasia india,hyderabad,pune,06-09-2025,16:30,20:30,1,economy,61,spring,saturday,0,A350,1468,4.6,7265,240,9,6,16,20,hyderabad -> pune
air india,ahmedabad,delhi,01-12-2025,20:40,23:16,2,economy,117,summer,monday,0,ATR72,1126,4.6,5596,156,12,1,20,23,ahmedabad -> delhi
airasia india,delhi,pune,03-03-2025,04:45,06:57,2,economy,29,monsoon,monday,0,A320,338,4.5,5366,132,3,3,4,6,delhi -> pune
airasia india,pune,delhi,11-12-2025,22:40,01:58,0,economy,97,summer,thursday,0,B787,926,3.6,4976,198,12,11,22,1,pune -> delhi
vistara,delhi,ahmedabad,07-12-2025,18:30,22:36,1,economy,74,summer,sunday,0,A320,476,4.2,4911,246,12,7,18,22,delhi -> ahmedabad
indigo,ahmedabad,bengaluru,16-03-2025,23:20,01:44,1,economy,72,monsoon,sunday,0,A321,2143,4.2,9079,144,3,16,23,1,ahmedabad -> bengaluru
spicejet,kolkata,bengaluru,25-11-2025,20:50,00:50,1,economy,93,spring,tuesday,0,A320,833,4.6,5977,240,11,25,20,0,kolkata -> bengaluru
spicejet,ahmedabad,chennai,24-02-2025,02:20,07:20,0,economy,119,summer,monday,0,B787,1727,3.8,5452,300,2,24,2,7,ahmedabad -> chennai
vistara,ahmedabad,chennai,17-11-2025,09:30,12:18,1,economy,28,spring,monday,1,ATR72,659,4.4,6437,168,11,17,9,12,ahmedabad -> chennai
vistara,delhi,ahmedabad,29-05-2025,19:45,00:33,0,economy,61,monsoon,thursday,0,A350,1994,4.3,7056,288,5,29,19,0,delhi -> ahmedabad
air india,pune,chennai,18-04-2025,00:00,05:36,0,economy,57,monsoon,friday,0,ATR72,2350,4.2,10659,336,4,18,0,5,pune -> chennai
airasia india,mumbai,delhi,24-02-2025,08:45,12:15,2,economy,61,summer,monday,0,B787,2728,3.7,12162,210,2,24,8,12,mumbai -> delhi
akasa air,delhi,bengaluru,03-08-2025,17:00,18:48,0,economy,119,winter,sunday,1,A320,1706,3.8,8706,108,8,3,17,18,delhi -> bengaluru
akasa air,mumbai,hyderabad,08-02-2025,12:40,14:46,0,economy,31,summer,wednesday,0,A321,1228,3.6,5346,126,2,8,12,14,mumbai -> hyderabad
vistara,ahmedabad,pune,06-05-2025,11:45,17:45,0,economy,52,monsoon,tuesday,0,A350,1221,3.6,5775,360,5,6,11,17,ahmedabad -> pune
air india,ahmedabad,pune,05-06-2025,19:10,22:52,0,economy,71,winter,thursday,0,B737,1535,3.6,2380,222,6,5,19,22,ahmedabad -> pune
airasia india,hyderabad,bengaluru,08-06-2025,02:00,04:00,1,economy,111,winter,sunday,0,B787,1163,4.3,5603,120,6,8,2,4,hyderabad -> bengaluru
akasa air,delhi,hyderabad,25-05-2025,21:40,01:22,0,business,2,monsoon,sunday,0,B737,476,4.6,12379,720,5,25,21,1,delhi -> hyderabad
vistara,mumbai,pune,11-02-2025,10:00,13:24,0,economy,102,summer,tuesday,0,A321,1003,3.6,3147,204,2,11,10,13,mumbai -> pune
akasa air,hyderabad,ahmedabad,11-03-2025,15:20,19:14,1,economy,15,monsoon,tuesday,0,A321,2414,4.9,10660,234,3,11,15,19,hyderabad -> ahmedabad
airasia india,hyderabad,pune,11-07-2025,15:45,19:33,0,economy,70,winter,friday,0,A321,2230,4.4,8641,228,7,11,15,19,hyderabad -> pune
airasia india,pune,bengaluru,22-10-2025,07:15,12:03,0,economy,77,spring,wednesday,0,B787,1874,4.7,7957,288,10,22,7,12,pune -> bengaluru
air india,mumbai,pune,11-05-2025,08:30,10:00,0,business,87,monsoon,sunday,0,A350,2036,3.5,18021,90,5,11,8,10,mumbai -> pune
air india,ahmedabad,pune,28-02-2025,01:50,04:56,0,business,91,summer,friday,0,A321,1756,4.2,16358,186,2,28,1,4,ahmedabad -> pune
akasa air,chennai,mumbai,29-09-2025,07:20,12:08,2,economy,61,spring,monday,0,A350,2663,3.8,11307,288,9,29,7,12,chennai -> mumbai
air india,bengaluru,chennai,11-02-2025,00:15,03:15,1,economy,55,summer,tuesday,0,B737,2769,4.9,11448,180,2,11,0,3,bengaluru -> chennai
spicejet,chennai,pune,18-02-2025,17:45,20:45,0,business,113,summer,tuesday,0,B787,1566,4.2,14841,180,2,18,17,20,chennai -> pune
spicejet,pune,bengaluru,24-07-2025,08:20,11:38,0,economy,5,winter,thursday,0,ATR72,982,4.1,5916,198,7,24,8,11,pune -> bengaluru
airasia india,delhi,kolkata,07-10-2025,12:40,16:34,0,economy,74,spring,tuesday,1,A321,1279,3.5,6197,234,10,7,12,16,delhi -> kolkata
airasia india,hyderabad,pune,28-08-2025,03:20,06:08,1,business,39,winter,thursday,1,A321,2260,3.7,28958,168,8,28,3,6,hyderabad -> pune
indigo,hyderabad,ahmedabad,15-01-2025,23:50,04:14,0,economy,59,summer,wednesday,0,B737,739,3.9,5542,264,1,15,23,4,hyderabad -> ahmedabad
air india,pune,hyderabad,29-06-2025,06:50,13:02,1,economy,30,winter,sunday,0,B737,394,4.4,5368,372,6,29,6,13,pune -> hyderabad
akasa air,kolkata,delhi,16-06-2025,19:30,22:30,0,economy,24,winter,monday,0,B787,1839,4.5,6902,180,6,16,19,22,kolkata -> delhi
airasia india,mumbai,hyderabad,25-10-2025,22:40,02:22,0,business,9,spring,saturday,0,ATR72,880,3.6,11716,222,10,25,22,2,mumbai -> hyderabad
air india,ahmedabad,chennai,26-09-2025,15:20,17:44,0,economy,99,spring,friday,0,A350,666,4.1,5418,144,9,26,15,17,ahmedabad -> chennai
air india,hyderabad,delhi,11-04-2025,05:50,07:50,1,economy,61,monsoon,friday,0,A320,1389,4.8,7286,120,4,11,5,7,hyderabad -> delhi
air india,pune,bengaluru,22-12-2025,22:00,03:30,0,economy,58,summer,monday,1,A321,485,4.3,4830,330,12,22,22,3,pune -> bengaluru
spicejet,kolkata,pune,23-05-2025,01:50,05:08,0,economy,113,monsoon,friday,0,A320,2555,4.1,8466,198,5,23,1,5,kolkata -> pune
vistara,pune,mumbai,17-02-2025,17:45,22:57,1,economy,83,summer,monday,0,A350,860,4.3,6567,312,2,17,17,22,pune -> mumbai
airasia india,pune,kolkata,23-04-2025,23:50,04:02,1,economy,105,monsoon,wednesday,0,B787,2167,4.5,9225,252,4,23,23,4,pune -> kolkata
airasia india,bengaluru,mumbai,09-02-2025,12:15,17:39,1,economy,66,summer,sunday,1,B737,2321,3.9,11548,324,2,9,12,17,bengaluru -> mumbai
indigo,bengaluru,kolkata,18-12-2025,17:15,21:39,1,economy,109,summer,thursday,0,A320,424,4.2,2936,264,12,18,17,21,bengaluru -> kolkata
vistara,hyderabad,kolkata,16-04-2025,15:50,20:56,2,economy,102,monsoon,wednesday,0,ATR72,365,4.5,3902,306,4,16,15,20,hyderabad -> kolkata
air india,hyderabad,chennai,17-11-2025,06:45,11:51,0,economy,23,spring,monday,0,B787,2591,4.2,10548,306,11,17,6,11,hyderabad -> chennai
spicejet,delhi,mumbai,24-01-2025,12:50,14:20,0,economy,27,summer,friday,1,A320,2355,3.6,11799,90,1,24,12,14,delhi -> mumbai
indigo,pune,ahmedabad,30-07-2025,06:20,10:44,0,economy,101,winter,wednesday,0,B787,551,4.3,2581,264,7,30,6,10,pune -> ahmedabad
akasa air,bengaluru,mumbai,29-09-2025,12:30,16:48,1,business,72,spring,monday,0,A321,516,3.8,8336,258,9,29,12,16,bengaluru -> mumbai
vistara,hyderabad,mumbai,04-05-2025,21:20,01:50,1,business,18,monsoon,sunday,0,ATR72,429,4.6,12041,270,5,4,21,1,hyderabad -> mumbai
akasa air,delhi,mumbai,17-01-2025,12:30,13:48,0,economy,33,summer,friday,0,A321,311,4.1,4715,78,1,17,12,13,delhi -> mumbai
airasia india,bengaluru,chennai,22-01-2025,03:15,09:09,1,economy,110,summer,wednesday,0,A321,1609,4.1,6306,354,1,22,3,9,bengaluru -> chennai
indigo,mumbai,chennai,09-07-2025,06:10,10:16,2,economy,77,winter,wednesday,0,B787,2117,4.6,10037,246,7,9,6,10,mumbai -> chennai
airasia india,chennai,mumbai,16-12-2025,23:30,05:36,0,economy,61,summer,tuesday,0,A320,1980,4.5,8470,366,12,16,23,5,chennai -> mumbai
spicejet,kolkata,hyderabad,12-02-2025,12:20,17:44,0,economy,117,summer,wednesday,1,A320,2283,3.7,8877,324,2,12,12,17,kolkata -> hyderabad
air india,pune,hyderabad,10-12-2025,02:30,07:06,0,economy,107,summer,wednesday,0,B737,2459,4.1,9308,276,12,10,2,7,pune -> hyderabad
vistara,hyderabad,pune,16-03-2025,13:20,18:14,0,economy,61,monsoon,sunday,0,A321,2692,4.6,11258,294,3,16,13,18,hyderabad -> pune
spicejet,ahmedabad,delhi,20-01-2025,08:50,10:08,2,economy,1,summer,monday,0,A320,2449,4.2,16997,78,1,20,8,10,ahmedabad -> delhi
airasia india,mumbai,kolkata,25-02-2025,13:10,16:58,0,economy,11,summer,tuesday,0,B737,2746,3.8,10240,228,2,25,13,16,mumbai -> kolkata
airasia india,pune,bengaluru,20-04-2025,20:50,00:32,1,economy,77,monsoon,sunday,0,A320,2396,4.2,10966,222,4,20,20,0,pune -> bengaluru
air india,delhi,hyderabad,19-01-2025,06:30,07:54,0,economy,63,summer,sunday,0,ATR72,389,4.2,4020,84,1,19,6,7,delhi -> hyderabad
spicejet,chennai,mumbai,18-03-2025,18:30,20:18,0,economy,23,monsoon,tuesday,0,ATR72,1938,4.1,7037,108,3,18,18,20,chennai -> mumbai
spicejet,pune,delhi,19-07-2025,01:10,06:10,0,economy,115,winter,saturday,0,A350,2355,4.1,7570,300,7,19,1,6,pune -> delhi
airasia india,mumbai,delhi,14-03-2025,22:15,02:15,0,economy,34,monsoon,friday,0,A321,1740,4.2,9100,240,3,14,22,2,mumbai -> delhi
airasia india,mumbai,pune,05-06-2025,12:20,15:44,1,economy,29,winter,thursday,0,A350,2060,4.3,9886,204,6,5,12,15,mumbai -> pune
spicejet,pune,mumbai,22-11-2025,01:54,20:30,0,economy,57,spring,saturday,0,A321,500,4.1,4101,1116,11,22,1,20,pune -> mumbai
akasa air,pune,kolkata,11-07-2025,23:40,02:22,2,economy,40,winter,friday,0,B737,2645,4.9,14927,162,7,11,23,2,pune -> kolkata
akasa air,mumbai,ahmedabad,08-05-2025,18:40,21:16,1,economy,74,monsoon,thursday,0,B787,2013,3.7,9854,156,5,8,18,21,mumbai -> ahmedabad
indigo,delhi,hyderabad,29-12-2025,08:50,12:08,0,economy,61,summer,monday,0,A320,1370,4.7,6865,198,12,29,8,12,delhi -> hyderabad
akasa air,delhi,hyderabad,07-11-2025,13:30,15:06,0,economy,104,spring,wednesday,0,B787,2762,3.6,10217,96,11,7,13,15,delhi -> hyderabad
spicejet,bengaluru,pune,31-07-2025,02:30,05:24,0,business,96,winter,thursday,0,B787,314,3.6,6306,174,7,31,2,5,bengaluru -> pune
spicejet,kolkata,hyderabad,31-12-2025,12:50,17:20,0,economy,83,summer,wednesday,0,A321,2486,4.2,7486,270,12,31,12,17,kolkata -> hyderabad
spicejet,pune,chennai,17-01-2025,10:40,15:40,0,economy,2,summer,friday,0,B737,1715,4.2,12231,300,1,17,10,15,pune -> chennai
spicejet,ahmedabad,mumbai,14-07-2025,17:20,20:32,1,economy,91,winter,monday,0,B787,2012,4.2,8955,192,7,14,17,20,ahmedabad -> mumbai
spicejet,bengaluru,delhi,29-07-2025,18:50,21:08,0,business,68,winter,tuesday,0,A321,2778,4.2,22368,138,7,29,18,21,bengaluru -> delhi
vistara,hyderabad,bengaluru,28-05-2025,06:20,08:02,0,economy,61,monsoon,wednesday,0,B737,554,3.7,4018,102,5,28,6,8,hyderabad -> bengaluru
airasia india,hyderabad,ahmedabad,04-01-2025,04:00,07:30,2,business,99,summer,saturday,0,ATR72,672,4.8,12578,210,1,4,4,7,hyderabad -> ahmedabad
indigo,delhi,mumbai,03-10-2025,12:10,16:40,0,economy,77,spring,friday,0,ATR72,722,3.7,2652,270,10,3,12,16,delhi -> mumbai
akasa air,mumbai,ahmedabad,09-07-2025,05:00,06:12,0,economy,1,winter,wednesday,0,ATR72,2499,3.7,14778,72,7,9,5,6,mumbai -> ahmedabad
akasa air,hyderabad,bengaluru,14-04-2025,09:20,12:26,0,economy,44,monsoon,monday,0,A321,2034,4.2,7336,186,4,14,9,12,hyderabad -> bengaluru
vistara,bengaluru,mumbai,14-05-2025,04:50,07:50,0,economy,106,monsoon,wednesday,0,B737,744,4.6,4754,180,5,14,4,7,bengaluru -> mumbai
indigo,chennai,ahmedabad,13-05-2025,13:10,17:04,0,economy,29,monsoon,tuesday,0,B787,2303,4.9,8462,234,5,13,13,17,chennai -> ahmedabad
vistara,chennai,kolkata,23-11-2025,03:30,07:12,0,economy,11,spring,sunday,0,ATR72,718,3.6,3279,222,11,23,3,7,chennai -> kolkata
airasia india,ahmedabad,pune,18-01-2025,13:15,18:21,0,economy,81,summer,saturday,0,A321,660,4.4,5255,306,1,18,13,18,ahmedabad -> pune
indigo,hyderabad,pune,24-05-2025,09:10,13:46,0,economy,61,monsoon,saturday,0,ATR72,946,4.5,11847,276,5,24,9,13,hyderabad -> pune
akasa air,pune,delhi,21-04-2025,01:50,04:38,1,economy,61,monsoon,monday,0,A350,2149,4.1,9736,168,4,21,1,4,pune -> delhi
spicejet,mumbai,hyderabad,28-02-2025,18:30,21:18,1,economy,85,summer,friday,0,ATR72,2564,4.6,10908,168,2,28,18,21,mumbai -> hyderabad
airasia india,bengaluru,kolkata,25-11-2025,13:00,17:06,0,economy,3,spring,tuesday,0,A350,529,4.3,4404,246,11,25,13,17,bengaluru -> kolkata
indigo,delhi,mumbai,04-05-2025,13:30,16:42,1,business,107,monsoon,sunday,1,A350,1653,3.7,19861,192,5,4,13,16,delhi -> mumbai
air india,pune,delhi,09-04-2025,23:30,05:06,0,economy,105,monsoon,wednesday,0,B737,2085,3.7,9087,336,4,9,23,5,pune -> delhi
vistara,ahmedabad,pune,05-11-2025,03:00,05:30,1,economy,44,spring,wednesday,0,A350,2243,4.9,10824,150,11,5,3,5,ahmedabad -> pune
akasa air,pune,bengaluru,26-09-2025,18:20,23:08,2,economy,78,spring,friday,0,B787,1281,3.5,8055,288,9,26,18,23,pune -> bengaluru
spicejet,pune,bengaluru,11-04-2025,05:10,09:46,0,business,55,monsoon,friday,0,B737,902,4.4,12586,276,4,11,5,9,pune -> bengaluru
vistara,pune,kolkata,20-06-2025,18:40,20:58,1,economy,75,winter,friday,0,B737,1994,3.9,9370,138,6,20,18,20,pune -> kolkata
air india,ahmedabad,mumbai,13-06-2025,04:20,07:44,2,business,23,winter,friday,0,A321,1366,4.3,20940,204,6,13,4,7,ahmedabad -> mumbai
vistara,delhi,kolkata,15-04-2025,20:50,01:38,0,economy,28,monsoon,tuesday,0,B737,547,3.9,2809,288,4,15,20,1,delhi -> kolkata
airasia india,ahmedabad,mumbai,05-02-2025,16:15,21:51,0,business,53,summer,wednesday,0,B787,594,4.7,7274,336,2,5,16,21,ahmedabad -> mumbai
airasia india,hyderabad,bengaluru,10-05-2025,09:50,14:26,0,economy,61,monsoon,saturday,0,A320,2450,4.5,11266,276,5,10,9,14,hyderabad -> bengaluru
indigo,ahmedabad,kolkata,10-06-2025,05:20,09:32,0,business,49,winter,tuesday,0,B787,2429,4.4,22804,252,6,10,5,9,ahmedabad -> kolkata
spicejet,ahmedabad,mumbai,24-11-2025,01:15,05:45,0,economy,88,spring,monday,0,A321,352,4.1,1520,270,11,24,1,5,ahmedabad -> mumbai
airasia india,kolkata,chennai,29-10-2025,12:50,18:14,1,economy,52,spring,wednesday,0,A350,660,4.4,5007,324,10,29,12,18,kolkata -> chennai
vistara,mumbai,pune,05-04-2025,06:30,09:06,1,business,11,monsoon,saturday,0,A350,1144,3.7,17704,156,4,5,6,9,mumbai -> pune
akasa air,mumbai,hyderabad,15-06-2025,21:30,00:48,1,economy,52,winter,sunday,0,A350,1733,4.8,8998,198,6,15,21,0,mumbai -> hyderabad
indigo,delhi,ahmedabad,22-03-2025,09:40,13:52,0,economy,110,monsoon,saturday,0,A350,712,3.8,2940,252,3,22,9,13,delhi -> ahmedabad
akasa air,delhi,hyderabad,18-05-2025,23:15,00:45,1,economy,52,monsoon,sunday,1,B787,351,4.1,5393,90,5,18,23,0,delhi -> hyderabad
indigo,chennai,pune,08-11-2025,07:30,13:06,1,economy,120,spring,saturday,0,B737,2012,3.7,10087,336,11,8,7,13,chennai -> pune
vistara,pune,delhi,09-12-2025,18:15,00:51,1,business,85,summer,tuesday,0,A321,2798,4.6,25024,396,12,9,18,0,pune -> delhi
vistara,hyderabad,delhi,28-03-2025,00:20,04:02,0,business,50,monsoon,friday,0,B787,1665,4.2,63843,222,3,28,0,4,hyderabad -> delhi
akasa air,delhi,bengaluru,03-01-2025,13:10,15:04,0,economy,3,summer,wednesday,0,ATR72,988,4.2,17216,114,1,3,13,15,delhi -> bengaluru
vistara,chennai,ahmedabad,19-07-2025,20:30,00:36,1,business,98,winter,wednesday,0,A320,2469,4.7,22866,246,7,19,20,0,chennai -> ahmedabad
akasa air,kolkata,hyderabad,01-11-2025,15:30,19:48,2,business,23,spring,saturday,0,A350,1153,4,18858,258,11,1,15,19,kolkata -> hyderabad
air india,ahmedabad,bengaluru,14-11-2025,11:20,16:08,0,economy,48,spring,friday,0,B737,2755,4.8,10735,288,11,14,11,16,ahmedabad -> bengaluru
airasia india,kolkata,pune,14-09-2025,21:15,01:21,1,business,47,spring,sunday,0,ATR72,478,3.7,12416,246,9,14,21,1,kolkata -> pune
vistara,chennai,kolkata,01-11-2025,01:10,06:16,0,economy,5,spring,saturday,0,B737,307,4.1,3832,306,11,1,1,6,chennai -> kolkata
spicejet,delhi,mumbai,30-11-2025,05:45,10:21,0,economy,87,spring,sunday,1,B737,2671,4.8,12970,276,11,30,5,10,delhi -> mumbai
airasia india,kolkata,chennai,25-06-2025,07:30,09:18,1,business,35,winter,wednesday,0,B787,653,4.1,12779,108,6,25,7,9,kolkata -> chennai
akasa air,delhi,bengaluru,15-06-2025,22:40,01:52,1,economy,72,winter,sunday,0,A320,598,3.8,6169,192,6,15,22,1,delhi -> bengaluru
vistara,hyderabad,delhi,18-03-2025,19:30,21:54,0,economy,28,monsoon,tuesday,0,ATR72,1248,3.8,5572,144,3,18,19,21,hyderabad -> delhi
air india,mumbai,hyderabad,24-05-2025,02:20,04:26,0,economy,57,monsoon,saturday,0,A321,965,4.9,5945,126,5,24,2,4,mumbai -> hyderabad
akasa air,kolkata,bengaluru,19-01-2025,18:20,21:50,1,economy,31,summer,sunday,0,A320,2348,4,11409,210,1,19,18,21,kolkata -> bengaluru
vistara,mumbai,chennai,20-11-2025,06:15,08:03,2,economy,45,spring,thursday,0,A350,2276,4.2,11428,108,11,20,6,8,mumbai -> chennai
air india,bengaluru,hyderabad,04-10-2025,10:45,16:03,1,economy,96,spring,saturday,0,ATR72,863,3.6,6965,318,10,4,10,16,bengaluru -> hyderabad
spicejet,chennai,pune,07-11-2025,20:15,23:45,0,economy,94,spring,friday,0,ATR72,337,4.8,2632,210,11,7,20,23,chennai -> pune
vistara,hyderabad,kolkata,17-05-2025,22:45,04:39,0,economy,2,monsoon,saturday,0,B737,628,4.8,7276,354,5,17,22,4,hyderabad -> kolkata
indigo,ahmedabad,hyderabad,22-02-2025,10:50,14:56,1,economy,63,summer,saturday,0,A321,1498,4,6713,246,2,22,10,14,ahmedabad -> hyderabad
indigo,kolkata,chennai,06-04-2025,04:15,09:21,0,economy,67,monsoon,sunday,1,A350,768,3.8,5723,306,4,6,4,9,kolkata -> chennai
vistara,ahmedabad,bengaluru,09-03-2025,17:40,20:28,0,business,10,monsoon,sunday,0,B787,2676,4.4,24650,168,3,9,17,20,ahmedabad -> bengaluru
indigo,chennai,ahmedabad,12-01-2025,06:00,10:42,0,economy,25,summer,sunday,0,B737,2024,4.5,9886,282,1,12,6,10,chennai -> ahmedabad
airasia india,chennai,ahmedabad,28-07-2025,10:20,15:20,0,economy,36,winter,monday,0,B787,563,4.4,2393,300,7,28,10,15,chennai -> ahmedabad
airasia india,delhi,kolkata,31-01-2025,21:20,23:02,0,economy,70,summer,friday,0,B787,1286,4.4,13633,102,1,31,21,23,delhi -> kolkata
akasa air,chennai,bengaluru,02-06-2025,12:00,14:30,0,economy,20,winter,monday,0,ATR72,1008,4.2,4544,150,6,2,12,14,chennai -> bengaluru
air india,kolkata,mumbai,28-03-2025,12:30,17:18,0,economy,54,monsoon,friday,0,B737,1189,3.6,7503,288,3,28,12,17,kolkata -> mumbai
vistara,ahmedabad,hyderabad,09-04-2025,20:10,01:40,0,economy,52,monsoon,wednesday,0,A350,5027,4.2,10679,330,4,9,20,1,ahmedabad -> hyderabad
airasia india,bengaluru,hyderabad,31-01-2025,02:40,05:10,0,economy,18,summer,friday,0,B787,1450,4.3,6369,150,1,31,2,5,bengaluru -> hyderabad
air india,ahmedabad,delhi,17-12-2025,22:15,03:39,0,economy,12,summer,wednesday,0,ATR72,1781,3.8,19090,324,12,17,22,3,ahmedabad -> delhi
airasia india,pune,hyderabad,13-05-2025,04:15,06:57,0,business,93,monsoon,tuesday,0,B787,1107,3.9,10091,162,5,13,4,6,pune -> hyderabad
akasa air,mumbai,pune,09-10-2025,04:40,08:16,0,economy,107,spring,thursday,0,ATR72,4217,4.4,8219,216,10,9,4,8,mumbai -> pune
akasa air,bengaluru,hyderabad,13-05-2025,14:15,17:57,2,economy,115,monsoon,tuesday,0,ATR72,539,4.7,3966,222,5,13,14,17,bengaluru -> hyderabad
vistara,ahmedabad,bengaluru,11-06-2025,09:15,11:09,0,economy,75,winter,wednesday,1,B737,1123,3.9,16693,114,6,11,9,11,ahmedabad -> bengaluru
vistara,delhi,chennai,11-08-2025,03:45,06:21,1,economy,39,winter,monday,0,A321,639,4.5,4458,156,8,11,3,6,delhi -> chennai
airasia india,hyderabad,bengaluru,20-05-2025,08:30,13:18,0,economy,100,monsoon,tuesday,0,B787,784,4,4606,288,5,20,8,13,hyderabad -> bengaluru
spicejet,kolkata,mumbai,07-08-2025,13:40,15:28,0,economy,79,winter,thursday,0,B787,2192,4.5,7893,108,8,7,13,15,kolkata -> mumbai
spicejet,hyderabad,pune,04-10-2025,06:10,11:52,2,economy,79,spring,saturday,0,B737,316,3.5,4111,342,10,4,6,11,hyderabad -> pune
airasia india,kolkata,pune,19-07-2025,11:00,16:18,0,economy,28,winter,saturday,0,A320,1440,3.7,7184,318,7,19,11,16,kolkata -> pune
akasa air,delhi,hyderabad,25-07-2025,01:20,04:02,0,economy,57,winter,friday,0,B787,585,3.8,4653,162,7,25,1,4,delhi -> hyderabad
air india,pune,delhi,21-01-2025,17:45,21:21,0,economy,3,summer,tuesday,0,A321,643,3.5,4962,216,1,21,17,21,pune -> delhi
airasia india,delhi,bengaluru,03-08-2025,12:40,15:28,0,economy,38,winter,sunday,0,A350,2783,4.2,12821,168,8,3,12,15,delhi -> bengaluru
indigo,delhi,kolkata,02-11-2025,11:45,14:15,0,economy,76,spring,sunday,0,A350,2772,3.7,8853,150,11,2,11,14,delhi -> kolkata
vistara,ahmedabad,kolkata,29-06-2025,17:10,21:34,0,business,11,winter,sunday,0,ATR72,1535,4.7,16671,264,6,29,17,21,ahmedabad -> kolkata
vistara,bengaluru,delhi,21-11-2025,05:15,08:27,0,economy,90,spring,friday,0,B737,2752,4.8,11135,192,11,21,5,8,bengaluru -> delhi
akasa air,bengaluru,pune,09-12-2025,20:30,02:54,0,economy,87,summer,tuesday,0,ATR72,1196,4.8,5183,384,12,9,20,2,bengaluru -> pune
indigo,hyderabad,bengaluru,17-09-2025,00:50,04:08,0,business,44,spring,wednesday,0,ATR72,1877,4.1,56896,198,9,17,0,4,hyderabad -> bengaluru
indigo,kolkata,pune,01-06-2025,15:15,02:45,0,economy,51,winter,sunday,0,ATR72,2351,3.5,9235,690,6,1,15,2,kolkata -> pune
airasia india,bengaluru,pune,11-09-2025,12:45,16:15,0,economy,40,spring,thursday,0,A320,980,4.5,5013,210,9,11,12,16,bengaluru -> pune
vistara,bengaluru,delhi,02-09-2025,05:30,09:18,1,economy,20,spring,tuesday,0,B737,1220,4.8,6700,228,9,2,5,9,bengaluru -> delhi
spicejet,ahmedabad,mumbai,06-08-2025,15:15,17:33,1,economy,31,winter,wednesday,0,B737,948,4.3,6822,138,8,6,15,17,ahmedabad -> mumbai
airasia india,kolkata,pune,17-08-2025,05:40,07:22,2,economy,102,winter,sunday,0,B787,1397,4,8285,102,8,17,5,7,kolkata -> pune
airasia india,ahmedabad,hyderabad,16-12-2025,22:45,01:21,0,economy,112,summer,wednesday,0,B737,695,4,3295,156,12,16,22,1,ahmedabad -> hyderabad
air india,kolkata,bengaluru,28-05-2025,03:50,10:26,1,economy,120,monsoon,wednesday,0,A350,1173,3.8,5199,396,5,28,3,10,kolkata -> bengaluru
